productId_type,productId_value,conditionDisplayName,conditionId,endTime,country,listingType,buyItNowAvailable,bestOfferEnabled,paymentMethod,expeditedShipping,shippingType,isShippingFree,returnsAccepted,feedbackRatingStar,feedbackScore,positiveFeedbackPercent,topRatedSeller,value,sellingState,endHour,endWeekday
1,205,1,2,2016-05-03T20:34:47.000Z,41,1,0,0,0,1,4,1,1,9,47,100.0,0,739.89,1,20,1
0,154,5,4,2016-05-03T20:34:11.000Z,41,0,0,0,0,1,2,0,1,9,16,100.0,0,0.0,1,20,1
0,101,0,5,2016-05-03T20:31:48.000Z,41,0,1,0,0,1,0,0,0,2,0,0.0,0,0.0,0,20,1
0,83,5,4,2016-05-03T20:28:16.000Z,41,0,0,0,0,1,0,0,0,2,4,0.0,0,0.0,0,20,1
0,89,2,0,2016-05-03T20:26:42.000Z,41,1,0,0,0,1,4,1,0,2,0,0.0,0,200.0,0,20,1
0,5,5,4,2016-05-03T20:25:54.000Z,41,1,0,1,0,0,4,1,1,3,610,99.4,1,399.99,0,20,1
1,205,5,4,2016-05-03T20:25:54.000Z,41,1,0,1,0,0,4,1,1,3,607,99.8,0,1199.95,0,20,1
1,205,5,4,2016-05-03T20:19:58.000Z,41,1,0,0,0,1,3,0,1,5,2120,100.0,1,512.99,1,20,1
1,205,5,4,2016-05-03T20:18:38.000Z,41,1,0,1,0,1,4,1,0,7,134,98.6,0,290.0,0,20,1
0,40,5,4,2016-05-03T20:18:32.000Z,41,1,0,0,0,1,0,0,1,7,195,100.0,0,699.5,1,20,1
0,89,5,4,2016-05-03T20:17:50.000Z,41,0,1,0,0,1,0,0,0,2,1,100.0,0,0.0,0,20,1
1,205,5,4,2016-05-03T20:12:04.000Z,41,0,1,0,0,1,0,0,0,7,183,96.3,0,0.0,1,20,1
1,205,5,4,2016-05-03T20:07:33.000Z,41,1,0,0,0,0,3,0,1,5,1200,99.8,1,500.0,0,20,1
