productId_type,productId_value,conditionDisplayName,conditionId,country,listingType,buyItNowAvailable,bestOfferEnabled,paymentMethod,expeditedShipping,shippingType,isShippingFree,returnsAccepted,sellingState,endHour,endWeekday
1,157,5,4,20,1,0,1,0,1,0,0,0,0,0,4
0,11,5,4,20,1,0,0,0,0,4,1,1,0,0,4
0,20,5,4,20,1,0,0,0,0,4,1,1,0,12,5
1,157,5,4,20,1,0,0,0,1,2,0,0,0,1,4
1,157,5,4,20,1,0,0,0,0,4,1,1,1,20,5
0,114,5,4,20,1,0,1,0,0,2,0,1,0,8,6
0,2,5,4,20,1,0,0,0,0,4,1,1,0,20,4
0,14,5,4,20,1,0,0,0,0,4,1,1,0,2,4
0,14,5,4,20,1,0,0,0,0,4,1,1,0,18,4
1,157,5,4,20,1,0,0,0,0,4,1,1,0,13,4
0,143,0,5,20,1,0,0,0,1,3,0,0,0,16,4
1,157,5,4,20,1,0,1,0,0,4,1,1,0,16,4
0,38,5,4,20,1,0,0,0,0,4,1,1,0,1,4
0,19,5,4,20,1,0,0,0,0,4,1,1,0,16,4
0,77,5,4,20,1,0,0,0,0,4,1,1,0,3,4
1,157,5,4,20,1,0,1,0,1,4,1,0,0,0,4
1,157,5,4,20,0,0,0,0,1,2,0,0,0,23,4
0,78,5,4,20,1,0,1,0,0,3,0,1,0,19,5
0,80,2,0,20,1,0,0,0,1,0,0,1,0,1,4
0,70,5,4,20,1,0,1,0,1,3,0,1,1,2,5
0,10,5,4,20,1,0,1,0,1,0,0,0,0,4,4
1,157,5,4,20,0,0,0,0,1,3,0,0,0,23,4
1,157,5,4,20,0,0,0,0,1,4,1,1,0,23,4
1,157,5,4,20,1,0,0,6,1,4,1,1,0,1,4
1,157,5,4,20,1,0,1,0,1,0,0,0,0,18,5
0,26,5,4,20,1,0,1,0,1,2,0,1,1,9,4
1,157,5,4,20,1,0,1,0,1,4,1,1,0,23,3
0,145,5,4,20,1,0,1,0,1,3,0,1,0,9,4
1,157,5,4,20,1,0,0,0,1,0,0,0,0,21,4
1,157,5,4,20,1,0,0,6,1,4,1,1,0,0,5
0,82,3,1,20,1,0,0,0,0,4,1,0,0,23,3
1,157,4,3,20,1,0,0,0,1,4,1,0,0,22,3
0,148,0,5,20,0,0,0,0,1,0,0,0,0,22,3
1,157,5,4,20,1,0,0,0,1,0,0,0,1,2,5
1,157,5,4,20,1,0,0,6,1,4,1,1,0,4,6
1,157,5,4,20,1,0,0,0,1,3,0,1,0,19,5
1,157,5,4,20,1,0,0,0,1,0,0,1,1,17,4
0,64,5,4,2,1,0,0,0,0,2,0,0,0,1,5
